Paper,origin
Badenas-Agusti 2025,https://ui.adsabs.harvard.edu/abs/arXiv:2505.06228/abstract
Coutu 2019,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract
Vennes 2024,https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp.3227V/abstract
Blouin 2022,https://ui.adsabs.harvard.edu/abs/2022MNRAS.510.1059B/abstract
Bhattacharjee 2025,https://ui.adsabs.harvard.edu/abs/arXiv:2502.05504
Dupuis 1993,https://ui.adsabs.harvard.edu/abs/1993ApJS...87..345D/abstract
Bergeron 2011,https://ui.adsabs.harvard.edu/abs/2011ApJ...737...28B/abstract
Koester 2014b,https://ui.adsabs.harvard.edu/abs/2014A%26A...568A.118K/abstract
Dennihy 2016,https://ui.adsabs.harvard.edu/abs/2016ApJ...831...31D/abstract
Kawka 2012,https://ui.adsabs.harvard.edu/abs/2012A%26A...538A..13K/abstract
Doyle 2023,https://ui.adsabs.harvard.edu/abs/2023arXiv230300063D/abstract
Farihi 2009,https://ui.adsabs.harvard.edu/abs/2009ApJ...694..805F/abstract
Xu 2019,https://ui.adsabs.harvard.edu/abs/2019AJ....158..242X/abstract
Koester 1997,https://ui.adsabs.harvard.edu/abs/1997A%26A...320L..57K/abstract
Zuckerman 2011,https://ui.adsabs.harvard.edu/abs/2011ApJ...739..101Z/abstract
Liebert 1987,https://ui.adsabs.harvard.edu/abs/1987A%26A...175..173L/abstract
Zeidler 1986,https://ui.adsabs.harvard.edu/abs/1986A%26A...155..356Z/abstract
Wehrse & Liebert 1980,https://ui.adsabs.harvard.edu/abs/1980A%26A....86..139W/abstract
Zuckerman 1998,https://ui.adsabs.harvard.edu/abs/1998ApJ...505L.143Z/abstract
Kenyon 1988,https://ui.adsabs.harvard.edu/abs/1988ApJ...328L..65K/abstract
Johnson 2022,https://ui.adsabs.harvard.edu/abs/2022ApJ...941..113J/abstract
Jura 2012,https://ui.adsabs.harvard.edu/abs/2012ApJ...750...69J/abstract
Zuckerman 2010,https://ui.adsabs.harvard.edu/abs/2010ApJ...722..725Z/abstract
Bergfors 2014,https://ui.adsabs.harvard.edu/abs/2014MNRAS.444.2147B/abstract
Desharnais 2008,https://ui.adsabs.harvard.edu/abs/2008ApJ...672..540D/abstract
Xu 2014,https://ui.adsabs.harvard.edu/abs/2014ApJ...783...79X/abstract
Grenfell 1972,https://ui.adsabs.harvard.edu/abs/1974A%26A....31..303G/abstract
Vennes & Kawka 2013,https://ui.adsabs.harvard.edu/abs/2013ApJ...779...70V/abstract
Farihi 2011,https://ui.adsabs.harvard.edu/abs/2011MNRAS.413.2559F/abstract
Badenas-Agusti 2023,https://ui.adsabs.harvard.edu/abs/2023arXiv231019790B/abstract
Rogers 2023,https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp.3437R/abstract
Owens 2023,https://ui.adsabs.harvard.edu/abs/2023AJ....166....5O/abstract
Melis 2020,https://ui.adsabs.harvard.edu/abs/2020ApJ...905...56M/abstract
Melis 2018,https://ui.adsabs.harvard.edu/abs/2018RNAAS...2...64M/abstract
Gansicke 2012,https://ui.adsabs.harvard.edu/abs/2012MNRAS.424..333G/abstract
Melis 2011,https://ui.adsabs.harvard.edu/abs/2011ApJ...732...90M/abstract
Vennes 2011,https://ui.adsabs.harvard.edu/abs/2011MNRAS.413.2545V/abstract
Vennes 2010,https://ui.adsabs.harvard.edu/abs/2010MNRAS.404L..40V/abstract
Kawka & Vennes 2011,https://ui.adsabs.harvard.edu/abs/2011AIPC.1331..238K/abstract
Klein 2021,https://ui.adsabs.harvard.edu/abs/2021ApJ...914...61K/abstract
Gentile Fusillo 2017,https://ui.adsabs.harvard.edu/abs/2017MNRAS.468..971G/abstract
Sion 1988,https://ui.adsabs.harvard.edu/abs/1988ApJ...330L..55S/abstract
Wolff 2002,https://ui.adsabs.harvard.edu/abs/2002A%26A...385..995W/abstract
Xu 2013,https://ui.adsabs.harvard.edu/abs/2013ApJ...766..132X/abstract
Wilson 2019,https://ui.adsabs.harvard.edu/abs/2019MNRAS.483.2941W/abstract
Friedrich 1999,https://ui.adsabs.harvard.edu/abs/1999A%26A...350..865F/abstract
Klein 2010,https://ui.adsabs.harvard.edu/abs/2010ApJ...709..950K/abstract
Shipman 1977,https://ui.adsabs.harvard.edu/abs/1977AJ.....82..480S/abstract
Shipman & Greenstein 1983,https://ui.adsabs.harvard.edu/abs/1983ApJ...266..761S/abstract
Izquierdo 2021,https://ui.adsabs.harvard.edu/abs/2021MNRAS.501.4276I/abstract
Farihi 2013,https://ui.adsabs.harvard.edu/abs/2013Sci...342..218F/abstract
Dobbie 2005,https://ui.adsabs.harvard.edu/abs/2005MNRAS.363..763D/abstract
Zuckerman 2007,https://ui.adsabs.harvard.edu/abs/2007ApJ...671..872Z/abstract
Berger 2005,https://ui.adsabs.harvard.edu/abs/2005A%26A...444..565B/abstract
Koester 2005a,https://ui.adsabs.harvard.edu/abs/2005A%26A...432.1025K/abstract
Friedrich 2000,https://ui.adsabs.harvard.edu/abs/2000A%26A...363.1040F/abstract
Melis 2012,https://ui.adsabs.harvard.edu/abs/2012ApJ...751L...4M/abstract
Koester 2005,https://ui.adsabs.harvard.edu/abs/2005A%26A...432.1025K/abstract
Koester 2006,https://ui.adsabs.harvard.edu/abs/2006A%26A...453.1051K/abstract
Koester 2014,https://ui.adsabs.harvard.edu/abs/2014A%26A...566A..34K/abstract
Wolff 2000,https://ui.adsabs.harvard.edu/abs/2000A%26A...361..629W/abstract
Klein 2011,https://ui.adsabs.harvard.edu/abs/2011ApJ...741...64K/abstract
Caron 2023,https://ui.adsabs.harvard.edu/abs/2023MNRAS.519.4529C/abstract
Swan 2023,https://ui.adsabs.harvard.edu/abs/2023arXiv230906467S/abstract
Koester & Wolff 2000,https://ui.adsabs.harvard.edu/abs/2000A%26A...357..587K/abstract
Koester 1996,https://ui.adsabs.harvard.edu/abs/2000A%26A...357..587K/abstract
Wegner 1972,https://ui.adsabs.harvard.edu/abs/1973MNRAS.163..381W/abstract
Hollands 2021,https://ui.adsabs.harvard.edu/abs/2021NatAs...5..451H/abstract
Kaiser 2024,https://ui.adsabs.harvard.edu/abs/2024arXiv241201878K/abstract
Zuckerman 2013,https://ui.adsabs.harvard.edu/abs/2013ApJ...770..140Z/abstract
Blouin 2018,https://ui.adsabs.harvard.edu/abs/2018ApJ...863..184B/abstract
Kawka & Vennes 2014,https://ui.adsabs.harvard.edu/abs/2014MNRAS.439L..90K/abstract
Kawka & Vennes 2011b,https://ui.adsabs.harvard.edu/abs/2011A%26A...532A...7K/abstract
Kawka 2016,https://ui.adsabs.harvard.edu/abs/2016MNRAS.458..325K/abstract
Kawka 2019,https://ui.adsabs.harvard.edu/abs/2019MNRAS.482.5201K/abstract
Kawka 2021,https://ui.adsabs.harvard.edu/abs/2021MNRAS.500.2732K/abstract
Cottrell & Greenstein 1980A,https://ui.adsabs.harvard.edu/abs/1980ApJ...238..941C/abstract
Liebert 1977,https://ui.adsabs.harvard.edu/abs/1977A%26A....60..101L/abstract
Hermes 2025,
Gaensicke 2008b,https://ui.adsabs.harvard.edu/abs/2008ASPC..398..149G/abstract
Gaensicke 2007,https://ui.adsabs.harvard.edu/abs/2007MNRAS.380L..35G/abstract
Koester 2015,https://ui.adsabs.harvard.edu/abs/2015A%26A...583A..86K/abstract
Genest-Beaulieu 2019,https://ui.adsabs.harvard.edu/abs/2019ApJ...882..106G/abstract
Hollands 2017,https://ui.adsabs.harvard.edu/abs/2017MNRAS.467.4970H/abstract
Kepler 2016,https://ui.adsabs.harvard.edu/abs/2016MNRAS.455.3413K/abstract
Kepler 2015,https://ui.adsabs.harvard.edu/abs/2015MNRAS.446.4078K/abstract
Dufour 2012,https://ui.adsabs.harvard.edu/abs/2012ApJ...749....6D/abstract
Aguilera-Gomez 2024,https://ui.adsabs.harvard.edu/abs/2024arXiv241103454A/abstract
Hollands 2022,https://ui.adsabs.harvard.edu/abs/2022MNRAS.511...71H/abstract
Manser 2016,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.1461M/abstract
Melis & Dufour 2017,https://ui.adsabs.harvard.edu/abs/2017ApJ...834....1M/abstract
Raddi 2015,https://ui.adsabs.harvard.edu/abs/2015MNRAS.450.2083R/abstract
Blouin 2019,https://ui.adsabs.harvard.edu/abs/2019ApJ...872..188B/abstract
Kaiser 2021,https://ui.adsabs.harvard.edu/abs/2021Sci...371..168K/abstract
Farihi 2012,https://ui.adsabs.harvard.edu/abs/2012MNRAS.421.1635F/abstract
Blouin 2020,https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1881B/abstract
Dufour 2007,https://ui.adsabs.harvard.edu/abs/2007ApJ...663.1291D/abstract
Kepler 2021,https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.4646K/abstract
Kilic 2020,https://ui.adsabs.harvard.edu/abs/2020ApJ...898...84K/abstract
Dufour 2010,https://ui.adsabs.harvard.edu/abs/2010ApJ...719..803D/abstract
Jura 2015,https://ui.adsabs.harvard.edu/abs/2015ApJ...799..109J/abstract
Wilson 2015,https://ui.adsabs.harvard.edu/abs/2015MNRAS.451.3237W/abstract
Subasavage 2017,https://ui.adsabs.harvard.edu/abs/2017AJ....154...32S/abstract
Leggett 2018,https://ui.adsabs.harvard.edu/abs/2018ApJS..239...26L/abstract
Limbach 2024,https://ui.adsabs.harvard.edu/abs/2024arXiv240816813L/abstract
Sayres 2012,https://ui.adsabs.harvard.edu/abs/2012AJ....143..103S/abstract
Steele 2021,https://ui.adsabs.harvard.edu/abs/2021ApJ...911...25S/abstract
Le Bourdais 2024,https://ui.adsabs.harvard.edu/abs/2024arXiv241010948L/abstract
Fortin-Archambault 2020,https://ui.adsabs.harvard.edu/abs/2020ApJ...888...47F/abstract
Badenas-Agusti 2024,https://ui.adsabs.harvard.edu/abs/2024arXiv240205176B/abstract
Xu 2017,https://ui.adsabs.harvard.edu/abs/2017ApJ...836L...7X/abstract
Subasavage 2007,https://ui.adsabs.harvard.edu/abs/2007AJ....134..252S/abstract
O'Brien 2023,https://ui.adsabs.harvard.edu/abs/2023MNRAS.518.3055O/abstract
O'Brien 2024,https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.8687O/abstract
Gaensicke 2019,https://ui.adsabs.harvard.edu/abs/2019Natur.576...61G/abstract
Elms 2022,https://ui.adsabs.harvard.edu/abs/2022MNRAS.517.4557E/abstract
Hoskin 2020,https://ui.adsabs.harvard.edu/abs/2020MNRAS.499..171H/abstract
Barstow 2014,https://ui.adsabs.harvard.edu/abs/2014MNRAS.440.1607B/abstract
Zuckerman 2003,https://ui.adsabs.harvard.edu/abs/2003ApJ...596..477Z/abstract
Swan 2019,https://ui.adsabs.harvard.edu/abs/2019MNRAS.490..202S/abstract
Farihi 2016,https://ui.adsabs.harvard.edu/abs/2016MNRAS.463.3186F/abstract
Tremblay 2020,https://ui.adsabs.harvard.edu/abs/2020MNRAS.497..130T/abstract
Gonzalez Egea 2021,https://ui.adsabs.harvard.edu/abs/2021MNRAS.501.3916G/abstract
Holberg 1996,https://ui.adsabs.harvard.edu/abs/1996AJ....111.2361H/abstract
Oâ€™Brien 2025,https://ui.adsabs.harvard.edu/abs/2025MNRAS.539..171O/abstract
Le Bourdais 2025,https://ui.adsabs.harvard.edu/abs/2025ApJ...993....8L/abstract
Williams 2025,https://ui.adsabs.harvard.edu/abs/2025MNRAS.541.1377W/abstract
Sahu 2025,https://ui.adsabs.harvard.edu/abs/2025MNRAS.543..223S/abstract
Rogers 2025,https://ui.adsabs.harvard.edu/abs/2025MNRAS.542..293R/abstract
Trierweiler 2025,https://ui.adsabs.harvard.edu/abs/2025ApJ...993...53T/abstract
